place_id,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges, crawled_at
38232807,소녀방앗간 이화여대점,한식,서울 서대문구 이화여대길 52-39 1층 소녀방앗간 이화여대점,"월 11:30 - 20:00, 15:00 - 17:00 브레이크타임, 14:30, 19:30 라스트오더 화 11:30 - 20:00, 15:00 - 17:00 브레이크타임, 14:30, 19:30 라스트오더 수 11:30 - 20:00, 15:00 - 17:00 브레이크타임, 14:30, 19:30 라스트오더 목 11:30 - 20:00, 15:00 - 17:00 브레이크타임, 14:30, 19:30 라스트오더 금 11:30 - 20:00, 15:00 - 17:00 브레이크타임, 14:30, 19:30 라스트오더 토 정기휴무 (매주 토요일) 일 정기휴무 (매주 일요일)",무선 인터넷,4.4,368,119,농림축산식품부 제공안심식당,2025-04-03 14:04:49
37792177,까이식당,아시아음식,서울 서대문구 이화여대2가길 24 1층,"월 11:00 - 20:00, 15:00 - 17:00 브레이크타임 화 11:00 - 20:00, 15:00 - 17:00 브레이크타임 수 11:00 - 20:00, 15:00 - 17:00 브레이크타임 목 11:00 - 20:00, 15:00 - 17:00 브레이크타임 금 11:00 - 20:00, 15:00 - 17:00 브레이크타임 토 11:00 - 15:00 일 정기휴무 (매주 일요일)","포장, 무선 인터넷",4.55,355,445,신선한 닭고기로 만든 맛있는 음식,2025-04-03 14:04:49
12047074,어바웃샤브 이대점,샤브샤브,서울 서대문구 이화여대8길 2 201호,"월 10:00 - 21:00, 20:00 라스트오더 화 10:00 - 21:00, 20:00 라스트오더 수 10:00 - 21:00, 20:00 라스트오더 목 10:00 - 21:00, 20:00 라스트오더 금 10:00 - 21:00, 20:00 라스트오더 토 10:00 - 21:00, 20:00 라스트오더 일 10:00 - 21:00, 20:00 라스트오더",N/A,4.51,531,176,N/A,2025-04-03 14:04:49
1751348952,슬로우캘리 이대점,"다이어트,샐러드",서울 서대문구 이화여대길 78 가동 1층,"매일 11:00 - 21:00, 14:50 - 17:00 브레이크타임, 20:30 라스트오더","배달, 포장, 간편결제",N/A,807,37,식약처 인증 위생등급 우수 음식점,2025-04-03 14:04:49
1385509809,다이코쿠야,일식당,서울 서대문구 이화여대길 78 2층 가동호,"월 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 화 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 수 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 목 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 금 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 토 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 14:30, 20:30 라스트오더 일 정기휴무 (매주 일요일)","단체 이용 가능, 무선 인터넷",N/A,458,194,다양한 맛있는 메뉴와 깔끔한 매장,2025-04-03 14:04:49
37792625,아민 이화,양식,서울 서대문구 이화여대길 52-31,"월 10:00 - 21:00, 20:30 라스트오더 화 10:00 - 21:00, 20:30 라스트오더 수 10:00 - 21:00, 20:30 라스트오더 목 10:00 - 21:00, 20:30 라스트오더 금 10:00 - 21:00, 20:30 라스트오더 토 09:00 - 21:00, 20:30 라스트오더 일 09:00 - 21:00, 20:30 라스트오더","포장, 무선 인터넷, 단체 이용 가능, 예약, 반려동물 동반, 유아의자",4.61,11192,2806,다양한 맛과 아름다운 인테리어가 어우러진 공간,2025-04-03 14:05:24
36797304,제주도로담,"육류,고기요리",서울 서대문구 연세로2마길 14,매일 16:00 - 23:50,N/A,4.5,336,474,품질 좋은 고기와 맛있는 음식의 조화,2025-04-03 14:05:27
36271566,비밀베이커리 이대점,베이커리,서울 서대문구 이화여대7길 48 1층 비밀베이커리,월 08:30 - 21:00 화 08:30 - 21:00 수 08:30 - 21:00 목 08:30 - 21:00 금 08:30 - 21:00 토 08:30 - 21:00 일 09:00 - 17:00,"예약, 포장",4.43,1354,711,맛있는 빵과 고소한 잠봉뵈르의 조화,2025-04-03 14:05:31
11594306,이대 불밥,한식,서울 서대문구 이화여대8길 11,"월 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 화 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 수 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 목 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 금 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 토 11:00 - 21:00, 15:00 - 16:30 브레이크타임, 14:20, 20:20 라스트오더 일 정기휴무 (매주 일요일)","배달, 포장, 무선 인터넷",4.46,331,249,농림축산식품부 제공안심식당,2025-04-03 14:05:38
11853181,비아37 신촌본점,이탈리아음식,서울 서대문구 이화여대길 77-1 비아37 신촌본점,"월 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 화 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 수 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 목 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 금 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 토 11:30 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 일 정기휴무 (매주 일요일)","예약, 무선 인터넷, 포장, 배달, 유아의자, 단체 이용 가능, 대기공간, 주차",4.66,1359,824,맛있는 파스타와 예쁜 인테리어의 조화,2025-04-03 14:05:40
